,speech_list
0,before
1,we
2,proceed
3,any
4,further
5,hear
6,me
7,speak
8,you
9,are
10,all
11,resolved
12,rather
13,to
14,die
15,than
16,famish
17,first
18,know
19,caius
20,marcius
21,is
22,chief
23,enemy
24,the
25,people
26,let
27,us
28,kill
29,him
30,and
31,well
32,have
33,corn
34,at
35,our
36,own
37,price
38,ist
39,a
40,verdict
41,accounted
42,poor
43,citizens
44,patricians
45,good
46,what
47,authority
48,surfeits
49,on
50,would
51,relieve
52,if
53,they
54,yield
55,but
56,superfluity
57,while
58,it
59,were
60,wholesome
61,might
62,guess
63,relieved
64,humanely
65,think
66,too
67,dear
68,leanness
69,that
70,afflicts
71,object
72,of
73,misery
74,as
75,an
76,inventory
77,particularise
78,their
79,abundance
80,sufferance
81,gain
82,them
83,revenge
84,this
85,with
86,pikes
87,ere
88,become
89,rakes
90,for
91,gods
92,i
93,in
94,hunger
95,bread
96,not
97,thirst
98,very
99,could
100,be
101,content
102,give
103,report
104,fort
105,he
106,pays
107,himself
108,being
109,proud
110,say
111,unto
112,hath
113,done
114,famously
115,did
116,end
117,though
118,softconscienced
119,men
120,can
121,was
122,his
123,country
124,please
125,mother
126,partly
127,which
128,even
129,till
130,altitude
131,virtue
132,must
133,need
134,barren
135,accusations
136,faults
137,surplus
138,tire
139,repetition
140,shouts
141,these
142,other
143,side
144,o
145,city
146,risen
147,why
148,stay
149,prating
150,here
151,capitol
152,soft
153,who
154,comes
155,hes
156,one
157,honest
158,enough
159,rest
160,so
161,business
162,unknown
163,senate
164,had
165,inkling
166,fortnight
167,intend
168,do
169,now
170,show
171,em
172,deeds
173,suitors
174,strong
175,breaths
176,shall
177,arms
178,cannot
179,sir
180,undone
181,already
182,care
183,true
184,indeed
185,neer
186,cared
187,yet
188,suffer
189,storehouses
190,crammed
191,grain
192,make
193,edicts
194,usury
195,support
196,usurers
197,repeal
198,daily
199,act
200,established
201,against
202,rich
203,provide
204,more
205,piercing
206,statutes
207,chain
208,up
209,restrain
210,wars
211,eat
212,will
213,theres
214,love
215,bear
216,ill
217,fob
218,off
219,disgrace
220,tale
221,t
222,deliver
223,answer
224,made
225,belly
226,your
227,bellys
228,kinglycrowned
229,head
230,vigilant
231,eye
232,counsellor
233,heart
234,arm
235,soldier
236,steed
237,leg
238,tongue
239,trumpeter
240,muniments
241,petty
242,helps
243,fabric
244,should
245,by
246,cormorant
247,restraind
248,sink
249,body
250,former
251,agents
252,complain
253,yere
254,long
255,about
256,ay
257,how
258,apply
259,great
260,toe
261,ever
262,word
