,speech_list
0,thanks
1,whats
2,the
3,matter
4,you
5,dissentious
6,rogues
7,that
8,rubbing
9,poor
10,itch
11,of
12,your
13,opinion
14,make
15,yourselves
16,scabs
17,he
18,will
19,give
20,good
21,words
22,to
23,thee
24,flatter
25,beneath
26,abhorring
27,what
28,would
29,have
30,curs
31,like
32,nor
33,peace
34,war
35,one
36,affrights
37,other
38,makes
39,proud
40,trusts
41,where
42,should
43,find
44,lions
45,finds
46,hares
47,foxes
48,geese
49,are
50,no
51,surer
52,than
53,is
54,coal
55,fire
56,upon
57,ice
58,or
59,hailstone
60,in
61,sun
62,virtue
63,him
64,worthy
65,whose
66,offence
67,subdues
68,and
69,curse
70,justice
71,did
72,it
73,who
74,deserves
75,greatness
76,hate
77,affections
78,a
79,sick
80,mans
81,appetite
82,desires
83,most
84,which
85,increase
86,his
87,evil
88,depends
89,favours
90,swims
91,with
92,fins
93,lead
94,hews
95,down
96,oaks
97,rushes
98,hang
99,ye
100,trust
101,every
102,minute
103,do
104,change
105,mind
106,call
107,noble
108,was
109,now
110,vile
111,garland
112,these
113,several
114,places
115,city
116,cry
117,against
118,senate
119,under
120,gods
121,keep
122,awe
123,else
124,feed
125,on
126,another
127,their
128,seeking
129,em
130,they
131,say
132,theyll
133,sit
134,by
135,presume
136,know
137,done
138,i
139,capitol
140,whos
141,rise
142,thrives
143,declines
144,side
145,factions
146,out
147,conjectural
148,marriages
149,making
150,parties
151,strong
152,feebling
153,such
154,as
155,stand
156,not
157,liking
158,below
159,cobbled
160,shoes
161,theres
162,grain
163,enough
164,nobility
165,lay
166,aside
167,ruth
168,let
169,me
170,use
171,my
172,sword
173,ill
174,quarry
175,thousands
176,quarterd
177,slaves
178,high
179,could
180,pick
181,lance
182,dissolved
183,said
184,were
185,anhungry
186,sighd
187,forth
188,proverbs
189,hunger
190,broke
191,stone
192,walls
193,dogs
194,must
195,eat
196,meat
197,made
198,for
199,mouths
200,sent
201,corn
202,rich
203,men
204,only
205,shreds
206,vented
207,complainings
208,being
209,answerd
210,petition
211,granted
212,them
213,strange
214,break
215,heart
216,generosity
217,bold
218,power
219,look
220,palethey
221,threw
222,caps
223,horns
224,o
225,moon
226,shouting
227,emulation
228,five
229,tribunes
230,defend
231,vulgar
232,wisdoms
233,own
234,choice
235,ones
236,junius
237,brutus
238,sicinius
239,velutus
240,notsdeath
241,rabble
242,first
243,unroofd
244,ere
245,so
246,prevaild
247,time
248,win
249,throw
250,greater
251,themes
252,insurrections
253,arguing
254,go
255,get
256,home
257,fragments
